"id";"web_name";"now_cost";"selected_by";"started_by";"benched_by";"captained_by";"vice_captained_by";"triple_captained_by"
285;"Lukaku";117;32673;32645;28;21356;5195;267
235;"Firmino";86;31301;31120;181;4883;4181;123
282;"Pogba";83;27875;27841;34;3616;3941;136
234;"Salah";91;25385;25268;117;2159;3592;43
388;"Alli";95;24380;24332;48;4088;3395;125
260;"de Gea";55;21929;21221;708;253;5826;13
230;"Mané";96;21585;21532;53;3108;3363;92
487;"Chicharito";71;20672;20011;661;995;1548;25
101;"David Luiz";60;17811;17366;445;97;273;1
387;"Eriksen";96;14470;14439;31;2233;2516;52
161;"Rooney";76;13815;12699;1116;637;1177;12
468;"Hegazi";49;13776;13177;599;36;147;2
100;"Alonso";71;13531;13444;87;89;200;NA
281;"Mkhitaryan";83;13270;13252;18;1349;1646;39
286;"Elliot";40;13250;822;12428;NA;94;NA
271;"Bailly";62;12071;11991;80;67;134;6
353;"Rangel";40;11936;1723;10213;NA;1;NA
307;"Bertrand";55;11334;10723;611;4;24;NA
106;"Willian";71;10867;10519;348;29;218;NA
421;"Foster";45;10347;6881;3466;2;876;NA
310;"Cédric";50;10261;9115;1146;1;11;NA
472;"Morata";101;8678;8633;45;1949;1233;52
267;"Valencia";65;8153;8087;66;75;101;3
34;"Daniels";49;7933;4630;3303;3;4;NA
108;"Loftus-Cheek";45;7199;27;7172;1;5;NA
252;"De Bruyne";99;6630;6616;14;305;1264;4
381;"Davies";56;6434;6298;136;14;50;NA
111;"Kanté";50;6359;4403;1956;10;69;NA
146;"Keane";55;6343;4599;1744;NA;18;NA
94;"Courtois";55;6237;4951;1286;16;1298;2
377;"Alderweireld";60;6133;5932;201;13;59;NA
479;"Hart";45;6085;957;5128;1;126;NA
306;"Forster";50;6008;4929;1079;9;866;1
248;"David Silva";81;5084;5025;59;171;346;2
23;"Xhaka";56;4945;3533;1412;6;41;1
424;"Dawson";50;4838;4516;322;3;11;NA
77;"Mee";45;4754;928;3826;NA;NA;NA
379;"Walker";65;4510;85;4425;2;8;NA
172;"Mooy";57;4324;3884;440;22;71;NA
107;"Matic";50;4180;3271;909;3;35;NA
135;"Pickford";50;4143;1818;2325;1;402;NA
375;"Lloris";55;4104;3287;817;16;880;NA
57;"Hünemeier";40;4062;8;4054;NA;NA;NA
327;"Gabbiadini";70;3847;3615;232;43;165;1
13;"Kolasinac";60;3777;162;3615;NA;19;NA
367;"Carroll";45;3762;816;2946;NA;3;NA
97;"Azpilicueta";65;3686;3499;187;6;35;1
324;"Redmond";65;3347;2941;406;3;16;NA
512;"Jesé";60;3268;2821;447;12;60;NA
483;"Danilo";55;3194;2989;205;3;9;NA
140;"Jagielka";50;3161;1943;1218;6;4;NA
138;"Baines";60;3148;2409;739;NA;6;NA
31;"Federici";40;3111;1;3110;NA;8;NA
494;"Mbemba";40;3064;1217;1847;NA;NA;NA
209;"Vardy";86;3041;2642;399;141;276;3
245;"Otamendi";55;3019;2840;179;4;20;NA
259;"Jesus";104;2998;2965;33;452;584;21
28;"Lacazette";104;2991;2900;91;96;523;2
171;"Zanka";46;2979;2538;441;1;5;1
380;"Vertonghen";60;2938;2776;162;3;31;NA
193;"Simpson";45;2937;891;2046;NA;NA;NA
7;"Bellerín";59;2932;2149;783;NA;7;NA
242;"Stones";55;2740;2570;170;3;24;1
227;"Can";50;2479;1280;1199;4;5;1
420;"Myhill";40;2469;2;2467;1;1;NA
186;"Quaner";45;2451;305;2146;NA;2;NA
22;"Elneny";45;2445;43;2402;2;15;NA
74;"Heaton";50;2398;532;1866;2;115;NA
320;"Oriol Romeu";45;2297;481;1816;NA;2;NA
29;"Begovic";45;2290;290;2000;NA;62;NA
409;"Capoue";54;2289;27;2262;3;10;NA
38;"Aké";50;2288;833;1455;NA;2;NA
198;"Maguire";51;2205;1189;1016;NA;4;NA
37;"Brad Smith";40;2188;23;2165;NA;NA;NA
199;"Mahrez";85;2120;1956;164;32;75;NA
318;"Tadic";65;2101;1918;183;4;20;NA
257;"Agüero";115;2070;2049;21;651;484;21
405;"Mariappa";40;2036;8;2028;NA;NA;NA
127;"McArthur";45;2035;307;1728;NA;NA;NA
264;"Jones";51;2032;1980;52;1;5;NA
300;"Atsu";50;2011;1155;856;3;11;NA
350;"Fabianski";45;1998;541;1457;1;85;NA
308;"Yoshida";50;1985;1799;186;NA;6;NA
352;"Naughton";45;1790;1313;477;NA;NA;NA
284;"Rashford";75;1780;1665;115;41;113;NA
432;"Phillips";60;1746;1537;209;1;11;1
188;"Mounie";61;1742;1515;227;19;71;NA
126;"Zaha";68;1724;34;1690;2;2;NA
143;"Williams";55;1723;1191;532;1;7;NA
501;"Richarlison";60;1689;1606;83;33;75;NA
219;"Matip";55;1601;1418;183;2;7;NA
345;"Sobhi";49;1600;647;953;2;2;NA
30;"Boruc";44;1599;5;1594;NA;19;NA
91;"Vokes";60;1590;1002;588;3;19;NA
372;"McBurnie";45;1565;155;1410;NA;NA;NA
247;"Sterling";78;1559;1468;91;20;41;2
244;"Kompany";60;1550;1485;65;6;26;NA
374;"Abraham";55;1545;1035;510;7;17;NA
192;"Fuchs";50;1543;749;794;NA;3;NA
384;"Dier";50;1524;847;677;1;7;NA
80;"Long";40;1494;6;1488;NA;NA;NA
164;"Schindler";45;1490;1166;324;1;2;NA
211;"Okazaki";55;1479;844;635;5;12;1
78;"Ward";45;1454;591;863;NA;NA;NA
189;"Schmeichel";50;1449;604;845;1;175;NA
222;"Milner";64;1446;1247;199;1;12;NA
270;"Blind";55;1444;1403;41;2;3;NA
105;"Fàbregas";69;1416;1228;188;12;24;NA
191;"Morgan";45;1399;412;987;NA;1;NA
60;"Rosenior";40;1378;166;1212;NA;NA;NA
116;"Speroni";40;1330;NA;1330;NA;1;NA
337;"Allen";54;1315;577;738;1;3;NA
373;"Ayew";50;1274;556;718;3;9;NA
414;"Doucouré";51;1244;922;322;6;7;NA
394;"Kane";124;1215;1194;21;527;240;19
223;"Alexander-Arnold";45;1209;15;1194;NA;NA;NA
303;"Mitrovic";49;1192;251;941;1;NA;NA
382;"Trippier";54;1188;850;338;NA;2;NA
295;"Ritchie";59;1164;813;351;1;9;NA
293;"Gámez";40;1161;3;1158;NA;NA;NA
99;"Zouma";55;1159;924;235;1;NA;NA
292;"Hanley";40;1143;7;1136;NA;NA;NA
385;"Dembélé";50;1138;760;378;1;4;NA
162;"Coleman";40;1137;1;1136;NA;4;NA
112;"Chalobah";45;1114;386;728;NA;2;NA
163;"Lössl";46;1109;719;390;1;98;NA
240;"Ederson";55;1109;860;249;2;185;NA
437;"Rodriguez";59;1102;832;270;9;19;NA
134;"Benteke";78;1088;923;165;47;67;NA
239;"Solanke";49;1047;11;1036;NA;1;NA
10;"Monreal";54;1036;561;475;NA;1;NA
347;"Crouch";49;997;241;756;1;1;NA
328;"Butland";50;942;545;397;NA;125;NA
465;"Haidara";40;940;9;931;NA;NA;NA
19;"Chamberlain";60;925;596;329;3;4;NA
422;"Nyom";50;920;855;65;1;4;NA
250;"Fernandinho";50;900;640;260;2;5;NA
397;"Gomes";45;896;428;468;2;64;NA
151;"Barry";45;882;236;646;NA;2;NA
475;"Robertson";49;875;31;844;NA;3;NA
165;"Löwe";45;841;640;201;NA;3;NA
477;"Manquillo";45;841;392;449;NA;1;NA
351;"Nordfeldt";40;837;1;836;NA;NA;NA
32;"Francis";44;826;NA;826;NA;NA;NA
55;"Dunk";45;816;265;551;NA;NA;NA
447;"Zabaleta";49;802;369;433;1;1;NA
406;"Mason";40;799;2;797;NA;NA;NA
2;"Cech";55;794;259;535;NA;85;NA
200;"Albrighton";55;793;410;383;NA;4;NA
269;"Fosu-Mensah";45;787;399;388;NA;NA;NA
290;"Lascelles";45;773;348;425;NA;NA;NA
216;"Moreno";45;772;428;344;1;1;NA
289;"Clark";45;754;544;210;1;NA;NA
232;"Wijnaldum";69;745;640;105;1;5;NA
402;"Britos";45;729;530;199;NA;3;NA
448;"Snodgrass";58;724;7;717;1;NA;NA
440;"Fonte";49;723;18;705;NA;1;NA
53;"Mäenpää";40;720;NA;720;NA;NA;NA
124;"van Aanholt";54;718;519;199;1;1;NA
359;"Sigurdsson";84;718;581;137;1;16;NA
90;"Cork";45;704;122;582;NA;1;NA
498;"Walker-Peters";44;692;18;674;1;NA;NA
330;"Shawcross";50;684;482;202;NA;4;NA
51;"King";73;672;449;223;1;11;NA
92;"Gray";64;669;459;210;13;19;NA
342;"Shaqiri";59;665;257;408;NA;NA;NA
226;"Coutinho";88;660;28;632;31;18;NA
159;"Calvert-Lewin";50;640;249;391;1;2;NA
182;"Ince";60;632;444;188;1;3;NA
317;"Ward-Prowse";54;624;293;331;NA;NA;NA
12;"Mustafi";54;615;24;591;NA;3;NA
115;"Hennessey";45;610;218;392;NA;35;NA
302;"Pérez";55;576;302;274;NA;8;NA
18;"Ramsey";70;575;455;120;NA;13;NA
21;"Iwobi";52;571;7;564;NA;1;NA
313;"Stephens";50;570;477;93;NA;NA;NA
273;"Lindelöf";51;558;15;543;NA;NA;NA
98;"Cahill";63;551;4;547;1;5;NA
280;"Martial";80;547;533;14;9;23;NA
434;"Brunt";55;536;413;123;2;5;NA
255;"Sané";82;531;469;62;2;14;1
354;"Fernández";45;505;292;213;NA;NA;NA
144;"Holgate";44;504;115;389;NA;NA;NA
357;"Mawson";50;501;348;153;NA;2;NA
278;"Herrera";53;490;13;477;3;4;NA
131;"Townsend";59;485;287;198;NA;3;NA
213;"Mignolet";50;485;51;434;NA;46;NA
461;"Suttner";45;479;160;319;NA;NA;NA
326;"Austin";64;478;20;458;5;3;NA
301;"Gayle";63;462;7;455;NA;4;NA
311;"van Dijk";54;461;4;457;NA;2;NA
76;"Lowton";45;450;148;302;NA;NA;NA
117;"Tomkins";44;450;184;266;NA;NA;NA
109;"Pedro";79;449;376;73;1;9;NA
132;"Milivojevic";48;441;125;316;NA;2;NA
299;"Colback";44;416;4;412;NA;NA;NA
452;"Obiang";45;407;6;401;NA;1;NA
61;"Goldson";40;401;2;399;NA;NA;NA
148;"Mirallas";64;391;10;381;NA;1;NA
258;"Iheanacho";69;386;10;376;3;1;NA
215;"Lovren";54;382;282;100;NA;NA;NA
166;"Smith";50;381;310;71;1;1;NA
332;"Pieters";50;372;197;175;NA;NA;NA
54;"Ryan";45;359;56;303;NA;4;NA
241;"Bravo";49;355;7;348;1;27;NA
62;"Knockaert";59;351;145;206;NA;1;NA
3;"Martinez";40;350;NA;350;NA;NA;NA
103;"Rüdiger";60;347;295;52;NA;1;NA
11;"Holding";48;332;105;227;NA;NA;NA
425;"McAuley";49;332;1;331;NA;NA;NA
155;"Gueye";50;330;109;221;NA;1;NA
442;"Reid";49;329;1;328;NA;2;NA
401;"Holebas";50;328;4;324;NA;NA;NA
400;"Prödl";45;327;248;79;NA;1;NA
444;"Ogbonna";45;324;114;210;NA;NA;NA
459;"Fletcher";45;323;1;322;1;NA;NA
125;"Puncheon";49;322;114;208;NA;1;NA
435;"Rondón";63;315;124;191;NA;3;NA
407;"Kiko Femenía";45;309;279;30;NA;2;NA
274;"Mata";70;307;287;20;NA;5;NA
370;"Mesa";45;306;5;301;NA;NA;NA
225;"Henderson";55;300;196;104;3;4;NA
47;"Fraser";54;299;2;297;NA;1;NA
346;"Fletcher";50;299;105;194;NA;NA;NA
201;"King";44;298;49;249;NA;NA;NA
272;"Tuanzebe";39;294;1;293;NA;1;NA
118;"Dann";49;276;184;92;NA;2;NA
418;"Okaka";55;275;5;270;3;9;NA
329;"Grant";44;263;NA;263;NA;3;NA
389;"Wanyama";50;262;7;255;NA;1;NA
316;"Davis";50;261;172;89;NA;NA;NA
52;"Defoe";78;255;130;125;NA;6;NA
70;"Groß";54;251;85;166;NA;NA;NA
256;"Bernardo Silva";78;249;201;48;1;3;NA
296;"Shelvey";54;247;1;246;NA;NA;NA
137;"Stekelenburg";44;246;1;245;NA;5;NA
218;"Gomez";45;245;184;61;NA;1;NA
436;"Robson-Kanu";49;245;NA;245;NA;1;NA
26;"Welbeck";75;243;165;78;NA;6;NA
249;"Yaya Touré";63;243;10;233;2;3;NA
349;"Berahino";60;236;6;230;1;NA;NA
35;"Adam Smith";49;230;64;166;NA;NA;NA
331;"Cameron";45;230;153;77;NA;NA;NA
154;"Schneiderlin";50;227;2;225;NA;NA;NA
15;"Walcott";72;225;8;217;NA;3;NA
156;"Davies";54;225;61;164;NA;NA;NA
25;"Giroud";84;222;150;72;4;9;NA
87;"Brady";55;214;125;89;NA;1;NA
423;"Evans";49;213;NA;213;NA;1;NA
291;"Dummett";44;206;NA;206;NA;NA;NA
294;"Lejeune";44;200;2;198;NA;NA;NA
170;"Hudson";40;199;NA;199;NA;NA;NA
335;"Johnson";44;199;3;196;NA;NA;NA
438;"Adrián";45;196;NA;196;NA;1;NA
39;"Arter";50;194;49;145;NA;NA;NA
365;"Fer";55;194;97;97;NA;NA;NA
220;"Klavan";45;192;5;187;NA;NA;NA
16;"Özil";95;189;174;15;1;12;NA
181;"Kachunga";60;187;137;50;1;4;NA
464;"Martina";44;187;2;185;NA;NA;NA
429;"Yacob";45;185;22;163;NA;NA;NA
319;"Clasie";44;184;NA;184;NA;NA;NA
93;"Barnes";54;183;20;163;NA;NA;NA
41;"Surman";45;181;44;137;NA;NA;NA
56;"Duffy";45;179;86;93;NA;NA;NA
262;"Joel Pereira";40;177;NA;177;NA;NA;NA
63;"Stephens";45;174;34;140;NA;NA;NA
463;"Bakayoko";50;174;84;90;NA;2;NA
20;"Coquelin";45;171;29;142;NA;NA;NA
102;"Moses";65;165;152;13;2;1;NA
175;"Billing";45;164;43;121;NA;1;NA
276;"Carrick";44;163;1;162;1;NA;NA
65;"Sidwell";45;161;NA;161;NA;NA;NA
121;"Delaney";44;160;NA;160;NA;NA;NA
46;"Lewis Cook";44;158;1;157;NA;NA;NA
263;"Smalling";53;156;9;147;NA;1;NA
348;"Diouf";54;156;3;153;NA;1;NA
160;"Sandro";74;153;69;84;NA;2;NA
449;"Ayew";70;153;108;45;1;1;NA
45;"Ibe";49;150;3;147;NA;NA;NA
158;"Klaassen";73;150;7;143;NA;NA;NA
206;"Ndidi";50;143;41;102;NA;NA;NA
321;"Højbjerg";44;138;2;136;NA;NA;NA
287;"Darlow";45;137;1;136;NA;2;NA
390;"Son";80;134;108;26;2;5;NA
427;"Chadli";58;134;3;131;NA;NA;NA
325;"Long";58;133;41;92;1;1;NA
203;"Gray";54;130;29;101;NA;1;NA
480;"Chambers";49;127;2;125;NA;NA;NA
196;"Chilwell";44;126;2;124;NA;NA;NA
474;"James";45;126;35;91;NA;1;NA
358;"Olsson";50;125;86;39;NA;NA;NA
204;"Amartey";45;123;NA;123;NA;NA;NA
443;"Cresswell";50;122;69;53;NA;NA;NA
49;"Afobe";58;121;31;90;NA;1;NA
456;"Fernandes";45;121;22;99;NA;NA;NA
89;"Walters";54;116;2;114;NA;NA;NA
340;"Arnautovic";69;115;4;111;NA;NA;NA
454;"Antonio";75;115;108;7;3;1;NA
72;"Hemed";49;114;24;90;NA;NA;NA
467;"Aarons";45;112;NA;112;NA;NA;NA
417;"Deeney";65;110;34;76;1;NA;NA
433;"Field";45;110;4;106;NA;NA;NA
453;"Lanzini";69;110;47;63;NA;NA;NA
383;"Wimmer";44;108;6;102;NA;NA;NA
136;"Robles";45;107;3;104;NA;3;NA
473;"Jakupovic";44;106;NA;106;NA;NA;NA
398;"Kaboul";44;103;NA;103;NA;NA;NA
488;"Joselu";55;102;37;65;1;2;NA
33;"Steve Cook";49;101;19;82;NA;NA;NA
81;"Taylor";44;101;2;99;NA;NA;NA
253;"Gündogan";54;100;NA;100;NA;NA;NA
484;"Mendy";65;100;55;45;NA;NA;NA
212;"Slimani";68;99;30;69;NA;NA;NA
496;"Hayden";45;99;23;76;NA;NA;NA
119;"Ward";49;98;45;53;NA;NA;NA
120;"Kelly";44;98;26;72;NA;NA;NA
104;"Hazard";105;97;4;93;2;1;NA
343;"Imbula";45;96;NA;96;NA;NA;NA
36;"Mings";44;95;23;72;NA;NA;NA
129;"Cabaye";55;95;27;68;NA;NA;NA
5;"Mertesacker";50;91;3;88;NA;NA;NA
71;"Murray";58;88;1;87;NA;NA;NA
217;"Clyne";54;85;1;84;NA;NA;NA
123;"Schlupp";49;84;NA;84;NA;NA;NA
491;"Lokilo";44;84;NA;84;NA;NA;NA
58;"Bruno";45;82;16;66;NA;NA;NA
246;"Delph";45;82;NA;82;NA;NA;NA
14;"Sánchez";119;81;66;15;7;10;1
446;"Masuaku";44;80;4;76;NA;NA;NA
288;"Yedlin";44;79;NA;79;NA;NA;NA
408;"Cleverley";50;77;49;28;NA;NA;NA
168;"Cranie";40;76;NA;76;NA;NA;NA
275;"Fellaini";49;75;31;44;NA;NA;NA
298;"Diamé";49;75;12;63;NA;NA;NA
486;"Watson";45;73;NA;73;NA;NA;NA
152;"Besic";45;72;12;60;NA;NA;NA
210;"Ulloa";49;72;NA;72;1;NA;NA
426;"Livermore";50;72;35;37;NA;NA;NA
228;"Lallana";74;71;2;69;NA;1;NA
315;"Bednarek";44;69;NA;69;NA;NA;NA
441;"Collins";45;69;28;41;NA;NA;NA
268;"Darmian";52;68;3;65;NA;NA;NA
410;"Behrami";45;68;2;66;NA;NA;NA
497;"Choupo-Moting";55;68;30;38;NA;NA;NA
85;"Defour";55;66;31;35;NA;1;NA
361;"Britton";45;66;1;65;NA;NA;NA
416;"Hughes";48;66;1;65;NA;NA;NA
304;"Murphy";45;65;NA;65;NA;NA;NA
445;"Byram";44;64;1;63;NA;NA;NA
9;"Jenkinson";45;63;3;60;NA;NA;NA
378;"Rose";64;63;NA;63;NA;NA;NA
231;"Grujic";44;61;7;54;NA;NA;NA
393;"Sissoko";54;61;26;35;1;NA;NA
145;"Kenny";44;60;2;58;NA;NA;NA
207;"Musa";64;59;1;58;NA;NA;NA
450;"Noble";55;57;28;29;NA;NA;NA
500;"Lemina";50;57;18;39;NA;NA;NA
113;"Batshuayi";82;56;28;28;NA;3;NA
202;"Drinkwater";49;55;1;54;NA;NA;NA
482;"Riedewald";49;55;1;54;NA;NA;NA
499;"Sinclair";50;55;NA;55;NA;NA;NA
169;"Stankovic";40;54;NA;54;NA;NA;NA
4;"Koscielny";60;53;31;22;NA;1;NA
430;"McClean";50;53;30;23;NA;NA;NA
490;"Pröpper";55;53;21;32;NA;NA;NA
173;"van La Parra";49;51;15;36;NA;1;NA
396;"Pantilimon";45;51;NA;51;NA;NA;NA
466;"de Jong";49;51;NA;51;NA;NA;NA
404;"Janmaat";49;49;NA;49;NA;NA;NA
334;"Bardsley";44;48;NA;48;NA;NA;NA
86;"Hendrick";54;46;1;45;NA;NA;NA
233;"Woodburn";44;46;NA;46;NA;NA;NA
338;"Adam";49;46;NA;46;NA;NA;NA
178;"Whitehead";44;45;NA;45;NA;NA;NA
167;"Hefele";44;44;1;43;NA;NA;NA
114;"Costa";96;43;4;39;7;3;1
431;"Leko";45;43;1;42;NA;NA;NA
236;"Sturridge";80;42;36;6;NA;2;NA
187;"Depoitre";53;40;NA;40;NA;NA;NA
344;"Bojan";55;40;1;39;NA;NA;NA
66;"March";50;39;10;29;NA;NA;NA
356;"van der Hoorn";45;39;25;14;NA;1;NA
1;"Ospina";49;38;NA;38;1;2;NA
214;"Karius";49;38;6;32;NA;NA;NA
305;"McCarthy";45;38;NA;38;NA;NA;NA
309;"Targett";44;38;NA;38;NA;NA;NA
412;"Amrabat";50;38;20;18;NA;NA;NA
141;"Pennington";40;37;NA;37;NA;NA;NA
238;"Origi";74;37;1;36;NA;NA;NA
322;"Boufal";58;37;1;36;NA;NA;NA
415;"Pereyra";59;37;NA;37;NA;NA;NA
462;"Malone";44;37;NA;37;NA;NA;NA
355;"Kingsley";45;36;NA;36;NA;NA;NA
485;"Bartley";45;35;1;34;NA;NA;NA
508;"Wilson";40;35;1;34;NA;NA;NA
205;"Mendy";45;34;NA;34;NA;NA;NA
391;"Winks";49;33;7;26;NA;NA;NA
59;"Bong";44;32;NA;32;NA;NA;NA
88;"Westwood";45;31;3;28;NA;NA;NA
376;"Vorm";50;31;1;30;NA;NA;NA
128;"Lee Chung-yong";44;29;6;23;NA;NA;NA
157;"Lookman";54;29;1;28;NA;NA;NA
314;"McQueen";45;29;7;22;NA;NA;NA
208;"Iborra";59;28;1;27;NA;NA;NA
312;"Pied";43;28;NA;28;NA;NA;NA
478;"Murphy";53;28;10;18;NA;NA;NA
180;"Scannell";45;27;NA;27;NA;NA;NA
470;"Christensen";55;27;20;7;NA;NA;NA
261;"Romero";49;26;2;24;NA;2;NA
362;"Fulton";45;26;NA;26;NA;NA;NA
360;"Routledge";55;25;6;19;NA;NA;NA
369;"Narsingh";49;25;NA;25;NA;NA;NA
458;"Sakho";55;25;11;14;NA;NA;NA
50;"Mousset";50;24;4;20;NA;NA;NA
395;"Janssen";74;24;2;22;1;NA;NA
195;"Benalouane";44;22;NA;22;NA;NA;NA
69;"Murphy";50;21;9;12;NA;NA;NA
251;"Fernando";45;21;NA;21;NA;NA;NA
506;"Taylor";40;21;NA;21;NA;NA;NA
8;"Gibbs";50;20;1;19;NA;NA;NA
323;"Sims";45;20;NA;20;NA;NA;NA
43;"Gosling";49;19;1;18;NA;NA;NA
64;"Kayal";45;19;NA;19;NA;NA;NA
96;"Caballero";49;19;NA;19;NA;1;NA
279;"Lingard";59;19;11;8;NA;NA;NA
333;"Muniesa";45;19;NA;19;NA;NA;NA
40;"Pugh";49;18;NA;18;NA;NA;NA
469;"Pope";45;18;NA;18;NA;NA;NA
471;"Musonda";49;18;NA;18;NA;NA;NA
366;"Dyer";45;17;NA;17;NA;NA;NA
84;"Gudmundsson";50;16;3;13;NA;NA;NA
153;"Lennon";55;16;8;8;NA;NA;NA
176;"Lolley";44;16;NA;16;NA;NA;NA
481;"Brown";54;16;NA;16;NA;NA;NA
505;"Ladapo";45;16;NA;16;NA;NA;NA
27;"Pérez";74;15;NA;15;NA;1;NA
221;"Sakho";49;15;NA;15;NA;NA;NA
386;"Lamela";64;15;1;14;NA;NA;NA
95;"Eduardo";49;14;NA;14;NA;NA;NA
130;"Sako";49;14;NA;14;NA;NA;NA
185;"Wells";50;14;NA;14;NA;NA;NA
190;"Hamer";45;14;NA;14;NA;NA;NA
495;"Merino";50;14;7;7;NA;NA;NA
149;"Barkley";74;13;NA;13;NA;NA;NA
183;"Palmer";54;13;4;9;NA;NA;NA
364;"Montero";49;13;NA;13;NA;NA;NA
194;"Huth";50;12;NA;12;NA;NA;NA
371;"Llorente";74;12;NA;12;NA;NA;NA
476;"Pereira";49;12;NA;12;NA;NA;NA
493;"Diaz";49;12;NA;12;NA;NA;NA
518;"Wood";65;12;9;3;NA;NA;NA
44;"Gradel";50;11;NA;11;NA;NA;NA
110;"Kenedy";49;11;NA;11;NA;NA;NA
243;"Kolarov";55;11;NA;11;NA;NA;NA
79;"Tarkowski";45;10;1;9;NA;NA;NA
237;"Ings";54;10;NA;10;NA;NA;NA
403;"Kabasele";45;10;5;5;NA;NA;NA
492;"Foden";49;10;NA;10;NA;NA;NA
174;"Hogg";45;9;NA;9;NA;NA;NA
184;"Williams";49;9;3;6;NA;NA;NA
524;"Burke";55;9;5;4;NA;1;NA
179;"Bunn";45;8;NA;8;NA;NA;NA
457;"Carroll";59;8;NA;8;NA;NA;NA
82;"Arfield";49;7;1;6;NA;NA;NA
150;"McCarthy";49;7;NA;7;NA;NA;NA
439;"Randolph";45;7;NA;7;NA;NA;NA
519;"Clucas";50;7;5;2;NA;NA;NA
266;"Rojo";55;6;NA;6;NA;NA;NA
460;"Valencia";50;6;NA;6;NA;NA;NA
489;"Nelson";50;6;NA;6;NA;NA;NA
6;"Gabriel";50;5;NA;5;NA;NA;NA
73;"Baldock";50;5;NA;5;NA;NA;NA
147;"Bolasie";65;5;NA;5;NA;NA;NA
413;"Success";54;5;NA;5;NA;NA;NA
455;"Feghouli";55;5;NA;5;NA;NA;NA
24;"Wilshere";54;4;NA;4;NA;NA;NA
42;"Stanislas";59;4;NA;4;NA;NA;NA
229;"Sheyi Ojo";50;4;NA;4;NA;NA;NA
502;"Mangala";50;4;NA;4;NA;NA;NA
520;"Sánchez";60;4;3;1;NA;NA;NA
17;"Cazorla";70;3;NA;3;NA;NA;NA
48;"Callum Wilson";60;3;NA;3;NA;NA;NA
67;"Skalak";49;3;NA;3;NA;NA;NA
68;"Norwood";45;3;NA;3;NA;NA;NA
75;"Robinson";45;3;NA;3;NA;NA;NA
133;"Wickham";55;3;1;2;NA;NA;NA
139;"Coleman";65;3;NA;3;NA;NA;NA
142;"Funes Mori";50;3;NA;3;NA;NA;NA
197;"Wagué";45;3;NA;3;NA;NA;NA
265;"Shaw";49;3;NA;3;NA;NA;NA
341;"Afellay";49;3;NA;3;NA;NA;NA
363;"Ki Sung-yueng";50;3;NA;3;NA;NA;NA
392;"Nkoudou";54;3;NA;3;NA;NA;NA
399;"Cathcart";45;3;1;2;NA;NA;NA
419;"Zárate";54;3;NA;3;NA;NA;NA
83;"Marney";45;2;NA;2;NA;NA;NA
177;"Payne";45;2;NA;2;NA;NA;NA
224;"Lucas";45;2;NA;2;NA;NA;NA
283;"McTominay";44;2;NA;2;NA;NA;NA
336;"Tymon";45;2;NA;2;NA;NA;NA
339;"Whelan";45;2;NA;2;NA;NA;NA
511;"Carter-Vickers";45;2;NA;2;NA;NA;NA
515;"Kaikai";45;2;NA;2;NA;NA;NA
517;"Izquierdo";60;2;1;1;NA;NA;NA
122;"Souaré";45;1;NA;1;NA;NA;NA
277;"Young";49;1;NA;1;NA;NA;NA
411;"Berghuis";50;1;NA;1;NA;NA;NA
428;"Morrison";55;1;NA;1;NA;NA;NA
451;"Kouyaté";50;1;NA;1;NA;NA;NA
504;"Scott";45;1;NA;1;NA;NA;NA
507;"Harper";45;1;NA;1;NA;NA;NA
513;"Martins Indi";50;1;1;NA;NA;NA;NA
523;"Ibrahimovic";100;1;1;NA;NA;NA;NA
